name,latitude,longitude
amas13,-9.142757000000,-67.219678000000
amas14,-9.1244960000000,-67.251316000000
amas15,-9.182200000628068,-67.48150199798438
amas16,-9.696398000686772,-67.01405400095184
amas17,-9.374678000052679,-66.06771100001984
amas18,-9.388521001744669,-67.24501100129135
amas19,-9.399532000125543,-67.16018099991952
amas2,-9.222128000340254,-67.27966299835967
amas20,-8.840510999887051,-66.84195799967843
amas21,-8.979771999933703,-67.01843800006591
amas3,-9.108168,-67.235240
amas4,-9.5871990000,-67.2793080000
amas41,-8.812617998193341,-66.83897300065567
amas42,-8.800811000063623,-66.83199899978297
